customer_id,Recency,Frequency,Monetary,Cluster,PC1,PC2
1,76,11,2356.69,1,0.2745198017378759,-0.29377552468843626
2,262,4,649.62,2,-1.496875304953073,0.6813901691875627
3,1,27,22259.35,0,4.8192905083102096,2.234486730753165
4,228,4,430.63,2,-1.3623949424763833,0.40263257698516586
5,54,9,2705.7400000000002,1,0.24633939411588168,-0.4499682997053441
6,57,8,829.4100000000001,1,-0.1160794800980503,-0.7071225846789604
7,131,4,634.57,2,-0.8653395103245958,-0.2789126201185865
8,1,15,6352.75,1,1.548733161822355,-0.20761047376163533
9,10,14,1601.53,1,0.7639266486802302,-0.8154337754290719
10,158,1,73.11,2,-1.346270475164118,-0.22322763974335585
11,57,4,350.58000000000004,1,-0.5462888825696777,-0.859182527449471
12,3,12,4148.99,1,0.9640031949013707,-0.5601889373025394
13,70,6,931.77,1,-0.34729533287178765,-0.641154172795855
14,130,4,367.88,2,-0.8969938043289778,-0.32282867179199576
15,180,5,542.3,2,-1.0237853820681866,0.08843462890714246
16,9,14,3841.3900000000003,1,1.0752408174963355,-0.5153440663085201
17,367,3,185.34,2,-2.1594185057479005,1.3641379001581952
18,50,9,2414.91,1,0.22589186137548756,-0.5191417561754237
19,40,14,1984.71,1,0.6712586365504892,-0.5434014534341756
20,120,4,689.1700000000001,2,-0.804666013321931,-0.3518818400403588
21,301,1,14.55,2,-2.04591748764309,0.8147501736628782
22,40,13,3127.77,1,0.7364893656136856,-0.40811078213077745
23,72,9,1338.31,1,-0.02782340413152323,-0.5059719317562984
24,238,4,372.5,2,-1.4187148418890716,0.4678025416311825
25,154,2,140.22,2,-1.2265685679331586,-0.22169043223457882
26,47,8,1120.02,1,-0.027949599541356524,-0.7403863598336922
27,51,9,1895.29,1,0.14995622818895896,-0.5831410342460449
28,27,4,558.3499999999999,1,-0.3727618358690058,-1.0501112591145552
29,49,6,1320.7,1,-0.1925097960917826,-0.741386915788055
30,112,4,59.290000000000006,1,-0.852158968043789,-0.49684659734248354
31,36,15,6488.98,1,1.3980922365418376,0.0671036986855337
32,109,7,1206.05,1,-0.407220537891807,-0.2966484861324964
33,133,7,1767.03,1,-0.4465407512675021,-0.044103137701219035
34,46,16,6066.18,1,1.3830478504209183,0.10381135936349824
35,200,4,129.0,2,-1.2682417412551872,0.15642197637800664
36,15,14,1986.29,1,0.7923899157964861,-0.7260543210386559
37,191,4,137.16,2,-1.2235957852308421,0.09170878103999044
38,97,5,548.98,1,-0.6214332676067446,-0.5177760305701595
39,72,10,3465.98,1,0.3544762334051295,-0.19237869410051658
40,328,4,232.79000000000002,2,-1.8731255291295896,1.1069593200658074
41,5,15,1230.54,1,0.8285204212844144,-0.8813373956634785
42,21,16,5448.58,1,1.4194574154345285,-0.16381946079265866
43,32,13,3415.3199999999997,1,0.8145273425889409,-0.4271649431450948
44,63,9,727.21,1,-0.06791010865103914,-0.6556740590642607
45,22,16,4510.62,1,1.286280782971575,-0.2852328618492747
46,68,11,2783.71,1,0.37164130447945265,-0.29368844237709335
47,115,9,529.84,1,-0.34641941370312174,-0.30239265724266906
48,1,19,11615.61,0,2.6335360953175386,0.6010227988092517
49,222,3,198.05,2,-1.4563718908650245,0.3052379307670063
50,1,15,4980.41,1,1.3609573982161762,-0.39595415961190145
51,199,2,116.63,2,-1.447443522798998,0.10423749181073719
52,289,3,284.13,2,-1.7686460998317353,0.8071426106140462
53,121,7,1993.71,1,-0.3574851347000725,-0.10077041736982166
54,85,9,2085.46,1,0.011532457003691505,-0.3083387774752501
55,187,3,87.0,2,-1.3022856140480046,0.03397953022017511
56,1,10,2622.25,1,0.5824284456016604,-0.8275244808749725
57,39,11,2213.66,1,0.4339034977106374,-0.5840525245777407
58,128,4,1086.07,2,-0.789051454190792,-0.23889189359370344
59,118,4,238.24,2,-0.8566930590676046,-0.4283982804331321
60,320,3,575.73,2,-1.8786815056053343,1.0739210319894983
61,101,4,966.81,1,-0.6747813712590134,-0.4527587493835491
62,356,2,104.52,2,-2.2084472833511204,1.2509972681742934
63,220,2,216.06,2,-1.5354073011847906,0.2714940936293475
64,274,1,10.18,2,-1.915927133145436,0.6166511349353762
65,282,1,22.4,2,-1.9529479127379552,0.6768465486329459
66,54,6,1089.04,1,-0.2483905954620539,-0.7366066240190163
67,141,2,110.29,2,-1.1677880101243625,-0.32089035687462863
68,4,8,1158.3000000000002,1,0.18526216460138117,-1.0496686113100395
69,119,8,856.09,1,-0.4122983074154732,-0.2499440651201152
70,30,8,3009.31,1,0.3127821214463038,-0.6054464491113454
71,347,1,142.12,2,-2.250945990562217,1.1687384969731034
72,362,1,31.02,2,-2.338696734378632,1.2632126565204609
73,125,4,577.19,2,-0.8441711307268092,-0.3306763385400874
74,9,15,8837.36,0,1.8500067700508425,0.1919024891288013
75,191,3,327.02,2,-1.2887903573826576,0.09617968366181276
76,79,7,1408.73,1,-0.23438995025868062,-0.48827578328497995
77,54,10,4354.89,1,0.5631636695696478,-0.2020484524288191
78,10,12,5302.5,1,1.0879804666724013,-0.3506745585890326
79,53,6,1295.75,1,-0.21527009131789765,-0.7155519680824194
80,1,15,11708.74,0,2.2815873467306553,0.527460206956821
81,52,10,1199.3700000000001,1,0.14107056694912157,-0.6497502035418011
82,313,3,261.44,2,-1.8878292334342097,0.9795834957780394
83,143,6,886.99,2,-0.7064945923350616,-0.11332034571554324
84,166,1,141.0,2,-1.3756739902595327,-0.15539192335746985
85,97,7,1563.83,1,-0.3002266533960433,-0.3353232441118895
86,2,30,21878.079999999998,0,5.035803870103197,2.2542329895115247
87,52,8,4087.3700000000003,1,0.35388659945160705,-0.29656520758411664
88,172,1,47.44,2,-1.4174953230312535,-0.12434362235602468
89,18,15,5218.1900000000005,1,1.3112703115711675,-0.238969180101853
90,1,22,20379.04,0,4.106145242419984,1.8684978472413436
91,127,3,346.22,2,-0.9766206132672343,-0.3693317164086751
92,210,3,135.07,2,-1.40695013156778,0.2088169223989647
93,51,9,1489.91,1,0.09448853137135346,-0.6387764914723743
94,171,3,488.12,2,-1.170015150975996,-0.028006281690142933
95,202,3,140.46,2,-1.3675197951620042,0.15103835314797787
96,108,8,1012.6400000000001,1,-0.3376751047278835,-0.3089213888846417
97,128,3,435.22,2,-0.9692794453359697,-0.3498023251391991
98,99,9,1356.6,1,-0.15590910043266792,-0.30596247424989664
99,53,14,6963.04,1,1.2895621749779138,0.2349303882683054
100,1,11,2950.71,1,0.7185441697947738,-0.7608597325284416
101,284,3,146.91,2,-1.763238742668969,0.7517362212041561
102,27,9,1204.3,1,0.17148731713015583,-0.8535293097926095
103,120,9,1474.92,1,-0.2412881810216167,-0.13611335729239096
104,18,12,2435.8,1,0.6570402492138285,-0.6855899804482843
105,65,8,653.63,1,-0.17882409165492338,-0.6727288039148112
106,1,10,1397.9499999999998,1,0.41490883137847623,-0.9955507532174539
107,314,4,623.87,2,-1.7519020353151424,1.0582251680518864
108,44,11,3253.42,1,0.5519896900218503,-0.40477908310546135
109,47,5,455.94000000000005,1,-0.39233364866246795,-0.8962845162482428
110,311,4,628.3399999999999,2,-1.7367805994101961,1.0368942777138603
111,304,3,182.43,2,-1.8551106520499325,0.9029068518080752
112,5,14,4177.06,1,1.1405165864882167,-0.4985349534552602
113,308,3,356.71999999999997,2,-1.8506091585495694,0.9560860407140013
114,1,23,9746.57,0,2.742489043777741,0.4308546569234348
115,23,13,5888.72,1,1.1964893598462867,-0.15354187479808395
116,169,2,172.37,2,-1.2947185727660961,-0.10755625184832497
117,365,3,255.53,2,-2.1401412785506793,1.359141390373209
118,1,30,10658.45,0,3.505470916121944,0.7071055685733467
119,36,15,7425.54,1,1.5262407049702174,0.19563974836704506
120,9,8,2088.3,1,0.28833001757000093,-0.8854589317035698
121,403,1,50.67,2,-2.534308793557569,1.5658158023620152
122,183,3,568.4100000000001,2,-1.2170684021280118,0.07079039830597043
123,36,10,4036.9900000000002,1,0.6067246288570273,-0.3773441077804247
124,236,2,316.12,2,-1.599101859448848,0.40226321614376986
125,288,4,311.58000000000004,2,-1.668880637265433,0.8251811368495349
